College,Degree Type,State/Country,Accreditation,Latitude,Longitude
Northwest Mississippi Community College,Associate,Mississippi,Accredited,34.623560499999996,-89.97419657500001
Pearl River Community College,Associate,Mississippi,Accredited,30.8448513,-89.5445413
Southwest Mississippi Community College,Associate,Mississippi,Accredited,31.29324595,-90.44423687824028
Columbia College,Associate,Missouri,Accredited,38.9578166,-92.3265723
Cox College,Associate,Missouri,Accredited,-1,-1
Crowder College,Associate,Missouri,Accredited,36.8139569,-94.3679951
Hannibal-LaGrange University,Associate,Missouri,Accredited,39.7308788,-91.3912608
Lincoln University,Associate,Missouri,Accredited,38.56278625,-92.17239174795365
Lincoln University,Baccalaureate,Missouri,Accredited,38.56278625,-92.17239174795365
Metropolitan Community College – Penn Valley,Associate,Missouri,Accredited,39.069485900000004,-94.59293089636944
Missouri Southern State University,Baccalaureate,Missouri,Accredited,37.09536065,-94.45764031637654
Missouri State University – West Plains,Associate,Missouri,Accredited,36.7299517,-91.85696836014525
Ozarks Technical Community College,Associate,Missouri,Accredited,37.21667015,-93.27955108446459
Saint Charles Community College,Associate,Missouri,Accredited,38.7614195,-90.64099432376656
Southeast Missouri Hospital College of Nursing and Health Sciences,Associate,Missouri,Accredited,-1,-1
Southwest Baptist University,Associate,Missouri,Accredited,37.600760050000005,-93.40873074472032
Southwest Baptist University,Baccalaureate,Missouri,Accredited,37.600760050000005,-93.40873074472032
Southwest Baptist University,Master’s,Missouri,Accredited,37.600760050000005,-93.40873074472032
St. Louis Community College,Associate,Missouri,Accredited,38.56878825,-90.42065382588277
Three Rivers College,Associate,Missouri,Accredited,36.77635185,-90.43056097481636
Webster University,Baccalaureate,Missouri,Accredited,38.5908246,-90.3454474
Webster University,Master’s,Missouri,Accredited,38.5908246,-90.3454474
Helena College – University of Montana,Associate,Montana,Accredited,46.595738,-112.01577017931295
Miles Community College,Associate,Montana,Accredited,46.405378049999996,-105.82642627952816
Missoula College – University of Montana,Associate,Montana,Accredited,-1,-1
Montana State University-Northern,Associate,Montana,Accredited,48.54123085,-109.68533314186413
Montana State University-Northern,Baccalaureate,Montana,Accredited,48.54123085,-109.68533314186413
Salish Kootenai College,Baccalaureate,Montana,Accredited,47.5950499,-114.10673341343407
Bryan College of Health Sciences,Baccalaureate,Nebraska,Accredited,40.7967398,-96.65044057206303
Bryan College of Health Sciences,Master’s/Post-Master’s Certificate,Nebraska,Accredited,40.7967398,-96.65044057206303
Central Community College,Associate,Nebraska,Accredited,41.478189549999996,-97.38052496067681
Clarkson College,Baccalaureate,Nebraska,Accredited,41.25937365,-95.97542659744732
Clarkson College,Master’s/Post-Master’s Certificate,Nebraska,Accredited,41.25937365,-95.97542659744732
Clarkson College,Clinical Doctorate,Nebraska,Accredited,41.25937365,-95.97542659744732
College of Saint Mary,Baccalaureate,Nebraska,Accredited,41.2409476,-96.02117078134732
Metropolitan Community College,Associate,Nebraska,Accredited,41.308007849999996,-95.95881287349958
Mid-Plains Community College,Associate,Nebraska,Accredited,41.0924907,-100.7715341
Midland University,Baccalaureate,Nebraska,Accredited,41.43861295,-96.48770653805852
Northeast Community College,Associate,Nebraska,Accredited,42.04971945,-97.39551990901197
Southeast Community College,Associate,Nebraska,Accredited,40.8158963,-96.60178580422534
Western Nebraska Community College,Associate,Nebraska,Accredited,41.876873700000004,-103.64358556519198
Carrington College – Reno,Associate,Nevada,Accredited,-1,-1
College of Southern Nevada,Associate,Nevada,Accredited,36.00650975,-114.96580474912994
College of Southern Nevada,Baccalaureate,Nevada,Accredited,36.00650975,-114.96580474912994
Great Basin College,Associate,Nevada,Accredited,40.84294655,-115.76632138298575
Great Basin College,Baccalaureate,Nevada,Accredited,40.84294655,-115.76632138298575
Las Vegas College,Associate,Nevada,Accredited,36.221373150000005,-115.10538230954252
Truckee Meadows Community College,Associate,Nevada,Accredited,39.572049,-119.79816174816249
Western Nevada College,Associate,Nevada,Accredited,39.186406399999996,-119.79055992597952
Franklin Pierce University,Baccalaureate,New Hampshire,Accredited,42.7793366,-72.0558917
Franklin Pierce University,Master’s/Post-Master’s Certificate,New Hampshire,Accredited,42.7793366,-72.0558917
Great Bay Community College,Associate,New Hampshire,Accredited,43.07205435,-70.7992369648999
Lakes Region Community College,Associate,New Hampshire,Accredited,43.5079426,-71.4623997588954
Manchester Community College,Associate,New Hampshire,Accredited,43.01940445,-71.48368551677208
Nashua Community College,Associate,New Hampshire,Accredited,42.79793475,-71.5237629478762
NHTI Concord’s Community College,Associate,New Hampshire,Accredited,-1,-1
River Valley Community College,Associate,New Hampshire,Accredited,43.3991331,-72.33328237204455
Rivier University,Associate,New Hampshire,Accredited,42.7391231,-71.45465518109557
Rivier University,Baccalaureate,New Hampshire,Accredited,42.7391231,-71.45465518109557
Rivier University,Master’s/Post-Master’s Certificate,New Hampshire,Accredited,42.7391231,-71.45465518109557
Rivier University,Clinical Doctorate,New Hampshire,Accredited,42.7391231,-71.45465518109557
St. Joseph School of Nursing,Associate,New Hampshire,Accredited,-1,-1
White Mountains Community College,Associate,New Hampshire,Accredited,44.50351005,-71.15854648460794
Atlantic Cape Community College,Associate,New Jersey,Accredited,39.46006395,-74.67990711610011
Bergen Community College,Associate,New Jersey,Accredited,40.9501907,-74.08835977710059
Best Care College,Associate,New Jersey,Accredited,-1,-1
Brookdale Community College,Associate,New Jersey,Accredited,40.3258392,-74.13149346368671
Capital Health,Diploma,New Jersey,Accredited,40.23615855,-74.75222925917251
County College of Morris,Associate,New Jersey,Accredited,40.8582439,-74.5799673
Eastern International College,Associate,New Jersey,Accredited,40.735196099999996,-74.06043004168485
Essex County College,Associate,New Jersey,Accredited,40.73885945,-74.17819998585574
"Hackensack Meridian Health, Inc.",Diploma,New Jersey,Accredited,-1,-1
Holy Name Medical Center,Diploma,New Jersey,Accredited,40.8828834,-74.01018965639452
Hudson County Community College,Associate,New Jersey,Accredited,40.7823256,-74.02323473493743
Jersey College – Ewing,Associate,New Jersey,Accredited,-1,-1
Jersey College – Teterboro,Associate,New Jersey,Accredited,-1,-1
Kean University,Master’s,New Jersey,Accredited,40.6792963,-74.23529465528084
Kean University,Baccalaureate,New Jersey,Accredited,40.6792963,-74.23529465528084
Mercer County Community College,Associate,New Jersey,Accredited,40.25543605,-74.64998837387077
Middlesex College,Associate,New Jersey,Accredited,40.50542755,-74.36633565217267
Ocean County College,Associate,New Jersey,Accredited,40.0093212,-74.16636221102254
Our Lady of Lourdes School of Nursing/Camden County College,Diploma,New Jersey,Accredited,-1,-1
Passaic County Community College,Associate,New Jersey,Accredited,40.9175222,-74.16913469798217
Ramapo College of New Jersey,Baccalaureate,New Jersey,Accredited,41.08224455,-74.1738235180645
Ramapo College of New Jersey,Master’s/Post-Master’s Certificate,New Jersey,Accredited,41.08224455,-74.1738235180645
Raritan Valley Community College,Associate,New Jersey,Accredited,40.6100961,-74.6882225
Rowan College at Burlington County,Associate,New Jersey,Accredited,39.972383199999996,-74.89354422883176
Rowan College at South Jersey,Associate,New Jersey,Accredited,-1,-1
Saint Elizabeth University,Master’s/Post-Master’s Certificate,New Jersey,Accredited,40.777586299999996,-74.4418611486904
Saint Elizabeth University,Baccalaureate,New Jersey,Accredited,40.777586299999996,-74.4418611486904
Salem Community College,Associate,New Jersey,Accredited,39.70018025,-75.4700909451403
Trinitas School of Nursing/Union County College,Diploma,New Jersey,Accredited,-1,-1
Warren County Community College,Associate,New Jersey,Accredited,40.7447372,-75.01833479664036
Carrington College – Albuquerque,Associate,New Mexico,Accredited,35.1099948,-106.6337881
Central New Mexico Community College,Associate,New Mexico,Accredited,35.136067100000005,-106.51933456498483
Clovis Community College,Associate,New Mexico,Accredited,34.40317845,-103.16533152267647
Eastern New Mexico University,Baccalaureate,New Mexico,Accredited,34.1760335,-103.3492763282508
Eastern New Mexico University,Master’s,New Mexico,Accredited,34.1760335,-103.3492763282508
Eastern New Mexico University – Roswell,Associate,New Mexico,Accredited,33.31213665,-104.52588847099216
Luna Community College,Associate,New Mexico,Accredited,35.61564355,-105.25245063387635
New Mexico Junior College,Associate,New Mexico,Accredited,32.7578619,-103.18379310983129
NMSU-Dona Ana Community College,Associate,New Mexico,Accredited,-1,-1
Northern New Mexico College,Associate,New Mexico,Accredited,36.0029219,-106.08330614358374
San Juan College,Associate,New Mexico,Accredited,36.7705583,-108.1700733
Santa Fe Community College,Associate,New Mexico,Accredited,35.60343195,-105.99333300665776
Southeast New Mexico College,Associate,New Mexico,Accredited,-1,-1
University of New Mexico – Gallup,Associate,New Mexico,Accredited,35.502112350000004,-108.72569236925342
University of New Mexico – Taos,Associate,New Mexico,Accredited,36.5828032,-105.5944533
University of New Mexico – Valencia,Associate,New Mexico,Accredited,34.7288478,-106.704972
"Alfred State College, SUNY College of Technology",Associate,New York,Accredited,-1,-1
"Alfred State College, SUNY College of Technology",Baccalaureate,New York,Accredited,-1,-1
Arnot Ogden Medical Center,Associate,New York,Accredited,42.1003453,-76.82822254883871
Borough of Manhattan Community College – CUNY,Associate,New York,Accredited,-1,-1
Bronx Community College – CUNY,Associate,New York,Accredited,-1,-1
Cayuga Community College,Associate,New York,Accredited,42.9434118,-76.543207
College of Staten Island – CUNY,Associate,New York,Accredited,40.612995350000006,-74.13680178404576
College of Staten Island – CUNY,Master’s/Post-Master’s Certificate,New York,Accredited,40.612995350000006,-74.13680178404576
College of Staten Island – CUNY,Baccalaureate,New York,Accredited,40.612995350000006,-74.13680178404576
College of Staten Island – CUNY,Clinical Doctorate,New York,Accredited,40.612995350000006,-74.13680178404576
Columbia-Greene Community College,Associate,New York,Accredited,42.21827485,-73.81694649974399
Daemen University,Baccalaureate,New York,Accredited,-1,-1
Daemen University,Master’s/Post-Master’s Certificate,New York,Accredited,-1,-1
Dutchess Community College,Associate,New York,Accredited,41.726224849999994,-73.9045403672078
Ellis Medicine,Associate,New York,Accredited,-1,-1
Elmira College,Baccalaureate,New York,Accredited,42.096333200000004,-76.811315591157
Erie Community College,Associate,New York,Accredited,42.8817789,-78.87263860608024
Excelsior University,Baccalaureate,New York,Accredited,-1,-1
Excelsior University,Master’s,New York,Accredited,-1,-1
Finger Lakes Community College,Associate,New York,Accredited,42.8665712,-76.98702637811581
Finger Lakes Health – Geneva General,Associate,New York,Accredited,-1,-1
Fulton-Montgomery Community College,Associate,New York,Accredited,42.98228805,-74.29303440794826
Genesee Community College,Associate,New York,Accredited,43.016037,-78.140394
Helene Fuld College of Nursing,Associate,New York,Accredited,40.80232545,-73.9434610572996
Hudson Valley Community College,Associate,New York,Accredited,42.6963635,-73.6881802
Jamestown Community College,Associate,New York,Accredited,42.1155556,-79.22
Jefferson Community College,Associate,New York,Accredited,43.99233625,-75.93533522222725
Kingsborough Community College of the City University of New York,Associate,New York,Accredited,-1,-1
LaGuardia Community College-CUNY,Associate,New York,Accredited,-1,-1
Maria College,Associate,New York,Accredited,42.65769465,-73.80656156364773
Maria College,Baccalaureate,New York,Accredited,42.65769465,-73.80656156364773
Medgar Evers College-CUNY,Associate,New York,Accredited,-1,-1
Medgar Evers College-CUNY,Baccalaureate,New York,Accredited,-1,-1
Mohawk Valley Community College,Associate,New York,Accredited,43.076606,-75.21665985048875
Monroe College,Associate,New York,Accredited,40.8625,-73.8994444
Monroe College,Baccalaureate,New York,Accredited,40.8625,-73.8994444
Monroe Community College,Associate,New York,Accredited,43.101550700000004,-77.60993444978027
Montefiore New Rochelle Hospital,Associate,New York,Accredited,40.913143649999995,-73.78805933427125
Nassau Community College,Associate,New York,Accredited,40.7300195,-73.59295873398955
New York City College of Technology,Baccalaureate,New York,Accredited,40.6956876,-73.98787944694988
New York City College of Technology,Associate,New York,Accredited,40.6956876,-73.98787944694988
Niagara County Community College,Associate,New York,Accredited,43.147067500000006,-78.876358242735
Onondaga Community College,Associate,New York,Accredited,43.00564765,-76.19734280374506
Orange County Community College,Associate,New York,Accredited,41.43875335,-74.42616864946243
Pacific College of Health and Science – New York,Baccalaureate,New York,Accredited,-1,-1
Pomeroy College of Nursing at Crouse Hospital,Associate,New York,Accredited,-1,-1
Queensborough Community College of CUNY,Associate,New York,Accredited,-1,-1
Rockland Community College,Associate,New York,Accredited,41.1330926,-74.08863954570006
St. Elizabeth Medical Center,Associate,New York,Accredited,43.04811655,-75.39119206234854
St. John’s Riverside Hospital,Associate,New York,Accredited,40.9689291,-73.88658910717797
St. Joseph’s College New York,Baccalaureate,New York,Accredited,40.69042755,-73.96777524013841
St. Joseph’s College New York,Master’s,New York,Accredited,40.69042755,-73.96777524013841
St. Joseph’s College of Nursing,Associate,New York,Accredited,-1,-1
St. Peter’s Health Partners – Samaritan Hospital,Associate,New York,Accredited,-1,-1
St. Peter’s Health Partners – St. Peter’s Hospital,Associate,New York,Accredited,-1,-1
Suffolk County Community College,Associate,New York,Accredited,40.847301349999995,-73.05582789631782
SUNY Adirondack Community College,Associate,New York,Accredited,43.3523728,-73.6557479
SUNY Broome Community College,Associate,New York,Accredited,-1,-1
SUNY College of Agriculture and Technology at Morrisville,Associate,New York,Accredited,-1,-1
SUNY College of Agriculture and Technology at Morrisville,Baccalaureate,New York,Accredited,-1,-1
SUNY College of Technology at Canton,Associate,New York,Accredited,-1,-1
SUNY College of Technology at Canton,Baccalaureate,New York,Accredited,-1,-1
SUNY College of Technology at Delhi,Associate,New York,Accredited,-1,-1
SUNY College of Technology at Delhi,Baccalaureate,New York,Accredited,-1,-1
SUNY Corning Community College,Associate,New York,Accredited,42.11814485,-77.07636180504821
Tompkins Cortland Community College,Associate,New York,Accredited,42.5027791,-76.28677180518228
Trocaire College,Associate,New York,Accredited,42.8467327,-78.8127639
Trocaire College,Baccalaureate,New York,Accredited,42.8467327,-78.8127639
Ulster County Community College,Associate,New York,Accredited,41.8508226,-74.0775923
Wagner College,Master’s/Post-Master’s Certificate,New York,Accredited,40.6147187,-74.09355867259515
Wagner College,Baccalaureate,New York,Accredited,40.6147187,-74.09355867259515
Westchester Community College,Associate,New York,Accredited,41.0687078,-73.7906885
York College of CUNY,Baccalaureate,New York,Accredited,-1,-1
Brunswick Community College,Associate,North Carolina,Accredited,34.03916915,-78.23023552688633
Cabarrus College of Health Sciences,Associate,North Carolina,Accredited,35.44001685,-80.60087348119572
Caldwell Community College and Technical Institute,Associate,North Carolina,Accredited,35.854242850000006,-81.48397334706411
Cape Fear Community College,Associate,North Carolina,Accredited,34.44870145,-77.59867970273122
Carolinas College of Health Sciences,Associate,North Carolina,Accredited,-1,-1
Carteret Community College,Associate,North Carolina,Accredited,34.72348975,-76.755100895
Catawba Valley Community College,Associate,North Carolina,Accredited,35.6973179,-81.28823319166355
Central Piedmont Community College,Associate,North Carolina,Accredited,35.2177789,-80.82965884624579
Cleveland Community College,Associate,North Carolina,Accredited,35.280037699999994,-81.49146558733483
Coastal Carolina Community College,Associate,North Carolina,Accredited,34.772682700000004,-77.38476854585764
College of the Albemarle,Associate,North Carolina,Accredited,35.9039785,-75.6715999
Davidson-Davie Community College,Associate,North Carolina,Accredited,35.8665448,-80.18071297441196
Duke Regional Hospital,Baccalaureate,North Carolina,Accredited,36.03643695,-78.8996543662317
Durham Technical Community College,Associate,North Carolina,Accredited,35.97541390000001,-78.88187035018204
Edgecombe Community College,Associate,North Carolina,Accredited,35.8795248,-77.57297637293954
Fayetteville Technical Community College,Associate,North Carolina,Accredited,35.068641850000006,-78.92655264275328
Gardner-Webb University,Associate,North Carolina,Accredited,35.24782945,-81.67023803083481
Gardner-Webb University,Baccalaureate,North Carolina,Accredited,35.24782945,-81.67023803083481
Gardner-Webb University,Master’s/Post-Master’s Certificate,North Carolina,Accredited,35.24782945,-81.67023803083481
Gardner-Webb University,Clinical Doctorate,North Carolina,Accredited,35.24782945,-81.67023803083481
Gaston College,Associate,North Carolina,Accredited,35.30872935,-81.19262230766802
Johnston Community College,Associate,North Carolina,Accredited,35.500887500000005,-78.33274774428686
Mitchell Community College,Associate,North Carolina,Accredited,35.78280815,-80.89427380579694
North Carolina Agricultural & Technical State University,Baccalaureate,North Carolina,Accredited,36.0781271,-79.77054699357666
North Carolina Central University,Baccalaureate,North Carolina,Accredited,35.973209049999994,-78.89755053748397
Rowan-Cabarrus Community College,Associate,North Carolina,Accredited,35.6396188,-80.4799838
Sampson Community College,Associate,North Carolina,Accredited,34.9905451,-78.360337
Wake Technical Community College,Associate,North Carolina,Accredited,35.7060132,-78.7956694
Wayne Community College,Associate,North Carolina,Accredited,35.403495,-77.9447075
Western Piedmont Community College,Associate,North Carolina,Accredited,35.72214515,-81.68789954122188
Wingate University,Baccalaureate,North Carolina,Accredited,34.987101100000004,-80.43731492196923
Bismarck State College,Associate,North Dakota,Accredited,46.8209518,-100.81568332785884
Dickinson State University,Baccalaureate,North Dakota,Accredited,46.8836733,-102.80852854258222
Lake Region State College,Associate,North Dakota,Accredited,48.128533399999995,-98.86903856107214
North Dakota State College of Science,Associate,North Dakota,Accredited,46.276704699999996,-96.61313239487892
Aultman College of Nursing and Health Sciences,Associate,Ohio,Accredited,-1,-1
Bryant & Stratton College – Akron,Associate,Ohio,Accredited,-1,-1
Bryant & Stratton College – Solon/Parma,Associate,Ohio,Accredited,-1,-1
Central Ohio Technical College,Associate,Ohio,Accredited,40.0695087,-82.4473778
Cincinnati State Technical and Community College,Associate,Ohio,Accredited,39.150007,-84.53680814331997
Clark State Community College,Associate,Ohio,Accredited,39.897764249999994,-83.79911724519306
Columbus State Community College,Associate,Ohio,Accredited,39.96904215,-82.98756379270088
Cuyahoga Community College,Associate,Ohio,Accredited,41.44444955,-81.50127567278153
Edison State Community College,Associate,Ohio,Accredited,40.15896135,-84.21107151249177
Firelands Regional Health System,Diploma,Ohio,Accredited,-1,-1
Fortis College – Centerville,Associate,Ohio,Accredited,39.6456722,-84.1510685
Galen College of Nursing – Cincinnati,Associate,Ohio,Accredited,-1,-1
Good Samaritan College of Nursing & Health Science,Associate,Ohio,Accredited,-1,-1
Good Samaritan College of Nursing & Health Science,Baccalaureate,Ohio,Accredited,-1,-1
Herzing University – Akron,Associate,Ohio,Accredited,41.02818605,-81.49283654966321
Hocking College,Associate,Ohio,Accredited,39.4430521,-82.22132748702572
James A. Rhodes State College,Associate,Ohio,Accredited,-1,-1
Kent State University,Associate,Ohio,Accredited,41.144232450000004,-81.33983207322399
Kettering College,Baccalaureate,Ohio,Accredited,-1,-1
Lakeland Community College,Associate,Ohio,Accredited,41.6392917,-81.36447765483356
Lorain County Community College,Associate,Ohio,Accredited,41.41343380000001,-82.0725031336335
Marion Technical College,Associate,Ohio,Accredited,40.577431,-83.0858897
Mercy College of Ohio,Associate,Ohio,Accredited,-1,-1
North Central State College,Associate,Ohio,Accredited,40.7995487,-82.5816907
Northwest State Community College,Associate,Ohio,Accredited,41.452397149999996,-84.29854275045977
Ohio University,Associate,Ohio,Accredited,39.32300405,-82.10267681533172
Owens Community College,Associate,Ohio,Accredited,41.5884075,-83.5251446318583
Shawnee State University,Associate,Ohio,Accredited,38.731402450000004,-82.99232084411008
Shawnee State University,Baccalaureate,Ohio,Accredited,38.731402450000004,-82.99232084411008
Sinclair Community College,Associate,Ohio,Accredited,39.75663965,-84.19885645279854
Southern State Community College,Associate,Ohio,Accredited,39.236931600000005,-83.61264257472764
Stark State College,Associate,Ohio,Accredited,40.871386,-81.4397885
Terra State Community College,Associate,Ohio,Accredited,-1,-1
Trinity Health System,Diploma,Ohio,Accredited,-1,-1
University of Cincinnati – Blue Ash College,Associate,Ohio,Accredited,39.2335185,-84.40017135397845
University of Rio Grande,Associate,Ohio,Accredited,38.8788275,-82.376029230075
University of Rio Grande,Baccalaureate,Ohio,Accredited,38.8788275,-82.376029230075
Youngstown State University,Baccalaureate,Ohio,Accredited,41.1067218,-80.64775416329198
Carl Albert State College,Associate,Oklahoma,Accredited,35.0379723,-94.6353602
Connors State College,Associate,Oklahoma,Accredited,35.49379705,-95.3233342650069
East Central University,Baccalaureate,Oklahoma,Accredited,34.7710292,-96.66700981622341
Eastern Oklahoma State College,Associate,Oklahoma,Accredited,34.91400505,-95.33073838548007
Langston University,Baccalaureate,Oklahoma,Accredited,35.94741365,-97.26474191034924
Murray State College,Associate,Oklahoma,Accredited,34.2242613,-96.6769463
Northeastern Oklahoma A&M College,Associate,Oklahoma,Accredited,36.87859085,-94.864775267563
Northeastern State University,Baccalaureate,Oklahoma,Accredited,35.9239099,-94.96819785745453
Northeastern State University,Master’s,Oklahoma,Accredited,35.9239099,-94.96819785745453
Northern Oklahoma College,Associate,Oklahoma,Accredited,36.6774106,-97.29628607039447
Northwestern Oklahoma State University,Baccalaureate,Oklahoma,Accredited,36.7930901,-98.67294270477655
Oklahoma City Community College,Associate,Oklahoma,Accredited,35.38837825,-97.56959714336573
Oklahoma City University,Master’s/Post-Master’s Certificate,Oklahoma,Accredited,35.496315249999995,-97.54122412051667
Oklahoma City University,Baccalaureate,Oklahoma,Accredited,35.496315249999995,-97.54122412051667
Oklahoma City University,Clinical Doctorate,Oklahoma,Accredited,35.496315249999995,-97.54122412051667
Oklahoma Panhandle State University,Baccalaureate,Oklahoma,Accredited,36.592886,-101.60532302199914
Oklahoma State University Institute of Technology-Okmulgee,Associate,Oklahoma,Accredited,35.630549,-95.93956741486203
Oklahoma State University-Oklahoma City,Associate,Oklahoma,Accredited,35.47150725,-97.58171187433898
Redlands Community College,Associate,Oklahoma,Accredited,35.5197743,-97.9736608
Rogers State University,Baccalaureate,Oklahoma,Accredited,36.318609949999995,-95.63611368514333
Rose State College,Associate,Oklahoma,Accredited,35.4458953,-97.413369
Seminole State College,Associate,Oklahoma,Accredited,35.2485518,-96.704227
Southwestern Oklahoma State University,Baccalaureate,Oklahoma,Accredited,35.5359857,-98.70873230891965
Southwestern Oklahoma State University,Master’s,Oklahoma,Accredited,35.5359857,-98.70873230891965
Tulsa Community College,Associate,Oklahoma,Accredited,36.03351375,-95.99093665037836
University of Tulsa,Baccalaureate,Oklahoma,Accredited,36.1523306,-95.94596023877983
University of Tulsa,Clinical Doctorate/DNPSC,Oklahoma,Accredited,36.1523306,-95.94596023877983
Central Oregon Community College,Associate,Oregon,Accredited,44.63629655,-121.10634267570029
Chemeketa Community College,Associate,Oregon,Accredited,44.9772777,-122.97825027803958
Portland Community College,Associate,Oregon,Accredited,45.5652116,-122.85513664002258
Treasure Valley Community College,Associate,Oregon,Accredited,44.018288850000005,-116.97285560268529
Alle-Kiski Medical Center,Diploma,Pennsylvania,Accredited,-1,-1
Bucks County Community College,Associate,Pennsylvania,Accredited,40.239449449999995,-74.96579869740276
Butler County Community College,Associate,Pennsylvania,Accredited,40.829118199999996,-79.9133326339574
Cedar Crest College,Baccalaureate,Pennsylvania,Accredited,40.5870414,-75.5196287
Cedar Crest College,Master’s/Post-Master’s Certificate,Pennsylvania,Accredited,40.5870414,-75.5196287
Commonwealth University of Pennsylvania,Associate,Pennsylvania,Accredited,39.95406335,-75.19234413312842
Commonwealth University of Pennsylvania,Baccalaureate,Pennsylvania,Accredited,39.95406335,-75.19234413312842
Community College of Allegheny County,Associate,Pennsylvania,Accredited,40.44959115,-80.0131308700794
Community College of Beaver County,Associate,Pennsylvania,Accredited,40.65479325,-80.30630008766506
Community College of Philadelphia,Associate,Pennsylvania,Accredited,39.9578373,-75.21659507456036
Conemaugh Memorial Medical Center,Diploma,Pennsylvania,Accredited,40.3058405,-78.9182439489216
Delaware County Community College,Associate,Pennsylvania,Accredited,39.9671919,-75.39277980071864
East Stroudsburg University of Pennsylvania,Baccalaureate,Pennsylvania,Accredited,40.9979175,-75.1726817657823
Grove City College,Baccalaureate,Pennsylvania,Accredited,41.1553489,-80.07874861795668
Harcum College,Associate,Pennsylvania,Accredited,40.0215652,-75.31334092678519
Harrisburg Area Community College,Associate,Pennsylvania,Accredited,40.042171350000004,-76.26655370770831
Heritage Valley Health System School of Nursing,Diploma,Pennsylvania,Accredited,-1,-1
La Roche University,Baccalaureate,Pennsylvania,Accredited,40.56839905,-80.013865336067
La Roche University,Master’s,Pennsylvania,Accredited,40.56839905,-80.013865336067
Lehigh Carbon Community College,Associate,Pennsylvania,Accredited,40.8679244,-75.812269
Lehigh Valley Health Network,Diploma,Pennsylvania,Accredited,40.5794992,-75.3410295082146
Luzerne County Community College,Associate,Pennsylvania,Accredited,41.1938759,-75.99100724735155
Montgomery County Community College,Associate,Pennsylvania,Accredited,40.173226650000004,-75.27510692732812
Mount Aloysius College,Associate,Pennsylvania,Accredited,40.45871235,-78.60403790736467
Mount Aloysius College,Baccalaureate,Pennsylvania,Accredited,40.45871235,-78.60403790736467
Neumann University,Baccalaureate,Pennsylvania,Accredited,39.87556305,-75.44047445081735
Neumann University,Master’s/Post-Master’s Certificate,Pennsylvania,Accredited,39.87556305,-75.44047445081735
Northampton Community College,Associate,Pennsylvania,Accredited,41.14477535,-75.3644803905312
Pennsylvania College of Health Sciences,Associate,Pennsylvania,Accredited,40.06143925,-76.24687400953601
Pennsylvania College of Technology,Associate,Pennsylvania,Accredited,41.236061500000005,-77.02751446355508
Pennsylvania College of Technology,Baccalaureate,Pennsylvania,Accredited,41.236061500000005,-77.02751446355508
Pennsylvania Western University,Associate,Pennsylvania,Accredited,40.06443145,-79.88439813365662
Pennsylvania Western University,Baccalaureate,Pennsylvania,Accredited,40.06443145,-79.88439813365662
Pennsylvania Western University,Master’s/Post-Master’s Certificate,Pennsylvania,Accredited,40.06443145,-79.88439813365662
Reading Area Community College,Associate,Pennsylvania,Accredited,40.3343147,-75.93520917217052
Reading Hospital,Diploma,Pennsylvania,Accredited,40.33064195,-75.95017113808055
Roxborough Memorial Hospital,Diploma,Pennsylvania,Accredited,40.028963250000004,-75.20929984465803
Saint Luke’s Hospital of Bethlehem,Diploma,Pennsylvania,Accredited,40.60928045,-75.39319740140317
Sharon Regional Medical Center,Diploma,Pennsylvania,Accredited,-1,-1
University of Pittsburgh at Bradford,Associate,Pennsylvania,Accredited,41.94475545,-78.67271518248876
University of Pittsburgh at Bradford,Baccalaureate,Pennsylvania,Accredited,41.94475545,-78.67271518248876
UPMC Jameson,Diploma,Pennsylvania,Accredited,41.01356165,-80.353336249416
UPMC Mercy,Diploma,Pennsylvania,Accredited,40.43637914999999,-79.98549286142423
UPMC Presbyterian Shadyside,Diploma,Pennsylvania,Accredited,-1,-1
UPMC St. Margaret,Diploma,Pennsylvania,Accredited,40.48889775,-79.89605534023003
Washington Health System – Washington Hospital,Diploma,Pennsylvania,Accredited,39.900855899999996,-80.17360509091998
Western Pennsylvania Hospital,Diploma,Pennsylvania,Accredited,40.4612409,-79.94609007817003
Westmoreland County Community College,Associate,Pennsylvania,Accredited,40.2340935,-79.5654337
Atenas College,Associate,Puerto Rico,Accredited,-1,-1
Atenas College,Baccalaureate,Puerto Rico,Accredited,-1,-1
Colegio Universitario de San Juan,Associate,Puerto Rico,Accredited,18.4288311,-66.06690254056161
Columbia Central University,Baccalaureate,Puerto Rico,Accredited,18.2227915,-66.02218655357319
EDP University of Puerto Rico,Associate,Puerto Rico,Accredited,18.4156409,-66.05547631340474
EDP University of Puerto Rico,Baccalaureate,Puerto Rico,Accredited,18.4156409,-66.05547631340474
Inter American University of Puerto Rico – Aguadilla Campus,Baccalaureate,Puerto Rico,Accredited,-1,-1
Inter American University of Puerto Rico – Aguadilla Campus,Associate,Puerto Rico,Accredited,-1,-1
Inter American University of Puerto Rico – Arecibo Campus,Baccalaureate,Puerto Rico,Accredited,-1,-1
Inter American University of Puerto Rico – Metropolitan Campus,Baccalaureate,Puerto Rico,Accredited,-1,-1
Inter American University of Puerto Rico – Metropolitan Campus,Associate,Puerto Rico,Accredited,-1,-1
NUC University,Baccalaureate,Puerto Rico,Accredited,18.18440915,-67.15000656966464
NUC University,Associate,Puerto Rico,Accredited,18.18440915,-67.15000656966464
